Site,Borough,Coords - Easting,Coords - Northing,Latitude,Longitude
Phillimore Gardens,K&C,525207.070,179391.860,51.499599,-0.19758996
Argyll Road,K&C,525351.920,179483.810,51.500394,-0.19548386
Abingdon Villas,K&C,525235.960,179145.610,51.497382,-0.19727402
Lexham Gardens,K&C,525608.840,178985.580,51.495861,-0.19196041
Nevern Place,K&C,525419.720,178700.140,51.493342,-0.19478276
Trebovir Road,K&C,525328.500,178420.860,51.490846,-0.19619221
Penywern Road,K&C,525590.340,178509.690,51.491588,-0.19238879
Wright's Lane,K&C,525517.640,179487.530,51.500393,-0.19309219
Derry Street,K&C,525626.450,179597.820,51.501357,-0.19148355
Queen's Gate (North),K&C,526405.850,179579.500,51.501022,-0.18027292
Gloucester Road Station,K&C,526256.440,178814.570,51.49418,-0.18269188
Queen's Gate (Central),K&C,526530.450,178797.110,51.493966,-0.17875318
Old Brompton Road,K&C,526368.130,178456.820,51.490938,-0.18120746
Seville Street,K&C,527861.670,179708.090,51.501854,-0.15926116
Natural History Museum,K&C,526501.980,178977.260,51.49559,-0.17910623
Sloane Avenue,K&C,527284.910,178728.840,51.493177,-0.16792277
Denyer Street,K&C,527477.720,178778.080,51.493583,-0.16512618
Cadogan Place,K&C,527960.380,178908.300,51.494642,-0.15812549
Chelsea Green,K&C,527389.800,178451.030,51.490664,-0.16651101
Royal Avenue,K&C,527653.880,178372.090,51.489895,-0.16273906
St. Luke's Church,K&C,527134.930,178339.160,51.489715,-0.17022225
Gloucester Road (North),K&C,526165.340,179228.370,51.497921,-0.18385413
Queen's Gate (South),K&C,526555.340,178632.180,51.492478,-0.17845236
Emperor's Gate,K&C,526070.940,178940.890,51.495354,-0.18532477
De Vere Gardens,K&C,526075.290,179650.360,51.501734,-0.18499932
Holy Trinity Brompton,K&C,527203.190,179157.560,51.497051,-0.16893441
Sumner Place,K&C,526886.310,178499.350,51.491209,-0.1737349
Gloucester Road (Central),K&C,526207.250,179066.740,51.496456,-0.18330729
Kensington Church Street,K&C,525619.170,179797.090,51.503156,-0.19151319
Flood Street,K&C,527369.840,178156.660,51.488018,-0.16690526
Ilchester Place,K&C,524844.090,179509.410,51.50074,-0.20277505
Belvedere Road,Lambeth,530941.400,180262.540,51.506128,-0.11470675
